,query,engine,batch,instance,query_class,status,timeout,nb_results,nb_distinct_sources,relevant_sources_selectivity,tpwss,source_selection_time,planning_time,ask,exec_time,http_req,data_transfer,sts,exec_time_only
21097,q11,anapsid,4,0,SD,success,,9.0,1.0,0.01,2.0,0.6573689937591553,0.5692729949951172,300.0,0.6035668849945068,303.0,0.040921,success,-0.053802108764648415
21098,q11,anapsid,4,0,SD,success,,9.0,1.0,0.01,2.0,0.6773200988769531,0.590571403503418,300.0,0.6222555637359619,303.0,0.040921,success,-0.05506453514099119
21099,q11,fedup_h0,4,0,SD,success,,18.0,1.0,0.01,3.0,0.1,,200.0,5.0,202.0,0.131552,success,4.9
21100,q11,fedup_h0,4,0,SD,success,,18.0,1.0,0.01,3.0,0.1,,200.0,4.0,202.0,0.131552,success,3.9
21101,q11,fedup_h0,4,0,SD,success,,18.0,1.0,0.01,3.0,0.1,,200.0,4.0,202.0,0.131552,success,3.9
21102,q11,rsa,4,0,SD,success,,9.0,1.0,0.01,2.0,,,0.0,29.401302337646484,1.0,0.0029259999999999998,success,
21103,q11,rsa,4,0,SD,success,,9.0,1.0,0.01,2.0,,,0.0,33.507585525512695,1.0,0.0029259999999999998,success,
21104,q11,rsa,4,0,SD,success,,9.0,1.0,0.01,2.0,,,0.0,34.4088077545166,1.0,0.0029259999999999998,success,
21105,q11,fedx,5,0,SD,success,,9.0,1.0,0.0083333333333333,2.0,753.0,0.0,360.0,869.0,361.0,0.116394,success,116.0
21106,q11,fedx,5,0,SD,success,,9.0,1.0,0.0083333333333333,2.0,699.0,0.0,360.0,852.0,361.0,0.116394,success,153.0
21107,q11,fedx,5,0,SD,success,,9.0,1.0,0.0083333333333333,2.0,706.0,0.0,360.0,828.0,361.0,0.116394,success,122.0
21108,q11,costfed,5,0,SD,success,,9.0,1.0,0.0083333333333333,1.0,629.0,630.0,600.0,639.0,601.0,0.266574,success,10.0
21109,q11,costfed,5,0,SD,success,,9.0,1.0,0.0083333333333333,1.0,738.0,739.0,600.0,749.0,601.0,0.266574,success,11.0
